PLS1_Loading ahba_gene_names
1.21933386470056 PTGER3
1.21708711198981 PRSS35
1.21326482376735 SLA
1.20434876892461 PRKCD
1.15206637491324 LY6H
1.14472724011623 DPYSL3
1.1259628133505 ATP2B4
1.12362321670738 GABRA5
1.11901161902809 CPNE6
1.11846239202579 SLIT1
1.10959557420786 PEA15
1.10720648473512 SCN9A
1.10330229498916 GNG4
1.09884632369525 MMD
1.09311989640139 DKFZp779M0652
1.09145916634403 NKAIN4
1.0806634749584 ASCL2
1.07386552330365 ANKRD6
1.07093440786259 NECAB2
1.07023680987912 RRP7A
1.06833323905971 NUDT11
1.06547208362629 CFD
1.06455741747813 FAM71F1
1.06010323863167 SMARCD3
1.05938606342945 ZCCHC12
1.0473574881896 LRRC3B
1.04721116959446 FABP7
1.04644769329648 KIRREL2
1.04487778494725 WDR66
1.04281564558628 NTSR1
1.0421419976401 RSPH9
1.04136953098451 PNMT
1.03990155058656 GABRB1
1.03553373940376 BIRC3
1.02794203645349 CXorf57
1.02264261347113 IL13RA2
1.02218934289394 KCNG1
1.01523583415841 TNNT1
1.01309711169695 ZCCHC17
1.00758351679056 SPPL3
1.00542039273646 PKIA
1.00396584880045 GRIA1
0.994852122219987 RAP2B
0.993282105172248 TMEM158
0.992648713991473 LRRC36
0.985911224469273 CPAMD8
0.985452127649865 EFNB3
0.984740728542331 SLC17A8
0.981787386064437 UCHL3
0.965448687103 ISOC1
0.96498467690893 DDAH2
0.962237608185289 PPM1M
0.959258925832061 ZNF831
0.957857946994873 KCTD4
0.957303052436783 SCN3B
0.956226042259724 TMEM200A
0.956018711552414 TRIM36
0.953071671765086 ECHDC3
0.950243414010932 SYNPR
0.944467579274135 GLRA2
0.942691200216682 RASAL1
0.94117172921438 SLC7A4
0.938094003234608 CPNE7
0.937451687464225 MESP1
0.937202699955176 IFI27L2
0.936262144876713 TMEM159
0.933633235292878 F12
0.930331894584759 RNF150
0.929500063367214 MBOAT2
0.922117651381919 RILPL2
0.921376068900423 CENPW
0.921252860613864 PTPRA
0.919640603581273 CNR1
0.916993494195077 ATOH7
0.91486388441831 IL33
0.913447020110995 ZNF706
0.911659802419589 NUPR1
0.911374187655809 COCH
0.910775705952317 DAPL1
0.908956101085119 POLR2L
0.908399663478322 MYL5
0.905579778812119 SST
0.90109032892032 PTGER4
0.901023753145196 PCSK5
0.900948490043765 GLOD4
0.900052693506255 ARHGAP4
0.898778953498696 RASGEF1C
0.897336021228497 HTR1A
0.896517360634012 TDRD9
0.894803596736478 LRRC56
0.893173796905453 LOXL1
0.89009050792565 PYDC1
0.889144294337429 FARP1
0.882682671854192 DCAKD
0.882521150952937 GNG2
0.881935239181545 HIST1H2BK
0.881005498872613 CANX
0.880577658734449 GPRIN2
0.877246811421852 LAMA1
0.868499834824213 NKAIN2
0.868215358466724 FZD1
0.867187559599592 ROBO1
0.862449921347462 NANOS1
0.861704080238251 EDNRB
0.859136014198465 YPEL1
0.857330297164432 SCGN
0.856495086051805 FKBP1A
0.856018860807307 TRIM27
0.852473215884145 DOC2B
0.851282474696696 ZSCAN18
0.850803190115115 LOC93622
0.849900312390698 HTR2C
0.848720489192584 CHMP1A
0.848530407441499 CEBPA
0.84422237092262 PSORS1C1
0.841172861882239 FAM171B
0.841015485939832 CD24
0.836848492085182 A1BG
0.836525554557401 MARCKS
0.832650205768191 SLC16A2
0.831343298267173 SLC30A10
0.822086449362324 ACSL4
0.822036463704078 CNTN1
0.820944353858854 SHISA9
0.819942706442631 PLCB2
0.81858156666854 HPCAL4
0.816571917870997 RHBDD2
0.815712077617998 KCNN3
0.814772550861238 SARNP
0.814509412842353 RAVER2
0.814403509027647 PYGL
0.809456524247611 MYH7
0.809350350438017 WDR6
0.809125130736121 TBC1D26
0.806617192066237 ZCCHC18
0.805400781461496 KCNG3
0.802503564676695 SUMF1
0.799289003622614 KCTD12
0.796766858349207 LUZP2
0.796513331396102 GTF2F2
0.794876873529599 GPR88
0.791044876684185 E2F5
0.788480832276223 SEMA4F
0.787045655030474 LOC642852
0.786747367867058 RGMB
0.78355687208015 SNRNP27
0.781722480341659 HNRNPC
0.780867941199748 VEZT
0.780232506000639 ARHGAP33
0.779914901194705 DIRAS3
0.777713017991955 FAM149A
0.776282933848481 FAM181A
0.776068262886119 CPLX3
0.772573322599223 GPC4
0.771690848538842 ZC3HAV1
0.771132528709875 LSM3
0.767417999157481 FAM117A
0.765149301550451 DNAH2
0.765044067889365 HEYL
0.764762683743954 IGFBP5
0.762060617726319 LOC729970
0.76070391470563 TSEN34
0.759790916008029 PACRG
0.759375423089115 RIPK2
0.758986530313351 TBC1D24
0.758920165815517 FERMT2
0.758803171974148 PPP1R1A
0.758664241475843 PDLIM5
0.758413354335364 ZDHHC12
0.758212498455165 FNBP1L
0.755829170803803 EXOC6
0.754048588808627 CASK
0.753325233822534 GRP
