PLS1_Loading ahba_gene_names
1.18662542235075 GPCPD1
1.17381426508382 ESRRG
1.14465889018206 RHBDL3
1.09767830077287 SEMA7A
1.0944971752062 VAMP1
1.08882988761403 TRPC3
1.07432121008922 SYT2
1.07046967827796 CPLX1
1.05959809088578 PANX2
1.04805025694098 JDP2
1.04777108991825 VAV3
1.03862064579231 SLC4A8
1.02942682469348 ACAN
1.02512215693885 ESRRA
1.01650489824216 THAP10
1.01235872157676 KCNC3
1.00509335804933 ANKH
0.990713056583483 STAC2
0.989407087125806 ECM1
0.982918054869055 SLC39A13
0.968500780148941 PHYH
0.962219160709482 BEND6
0.951503120798676 IPW
0.949322252895097 CDS1
0.948797525983068 PDE4A
0.94781827842482 TIFA
0.937018732522015 POU6F1
0.931915868324392 SUGP2
0.923232358118846 MPP1
0.922676930737486 SLC16A6
0.92095592542227 SLC25A12
0.915576468039485 RET
0.914730338978195 ACSL6
0.912292278676267 FLT3
0.905424415056022 PLAGL1
0.901287836615525 TTC39B
0.900378399003913 ADCY9
0.892899844163014 CORO6
0.89095515914821 KCNA1
0.889608810856809 FER1L4
0.88857708605076 SPAG4
0.88758443044089 RAB37
0.885821402120161 CLEC16A
0.88206360423693 L2HGDH
0.87819008284346 PCSK1
0.878146676315145 ULK3
0.875379465665916 TBCE
0.87522294914127 SYT12
0.86787575069344 CDR2L
0.865681944020428 ST8SIA1
0.865469286507587 DND1
0.864448124565887 ITM2A
0.861972648927256 CDADC1
0.861768028846106 ANKRD29
0.861289978831576 DCUN1D2
0.859813893964742 PLA2R1
0.85912391709923 EFR3A
0.858820078423845 FAM131B
0.854726996035932 SLC4A9
0.848089834225399 REPIN1
0.846076293697987 C4orf33
0.834485352547283 TCTEX1D1
0.833918531471063 EMX1
0.83071709323459 RELT
0.828756076965738 SPTBN4
0.828653751297871 KCNT1
0.824536308430845 HSPA4L
0.823222455826585 SETD7
0.818187237158189 NEXN
0.816507596042307 GRAMD1B
0.813660654764416 SLC25A37
0.813294361406572 PLCD4
0.812427124521537 SCLT1
0.81055027586459 SLC38A1
0.809411521522977 STAU2
0.804548353672331 C1RL
0.803652286670223 MRGPRF
0.803293861335398 ZBTB1
0.800260351106233 CSDC2
0.80004073200463 NUB1
0.797877838310054 SLC5A6
0.792028172884781 LOC220729
0.78868565745659 ANKS1A
0.787136963177127 NDRG3
0.785261346909649 DNAJC4
0.783991326068939 MGST2
0.781417253112176 ABCG4
0.778674065164248 SSBP3
0.776113019278485 TRIM44
0.77596705784108 HNRNPUL2
0.775849267726569 MOGAT2
0.775050910307932 ANKS6
0.774804949420707 TMEM229B
0.774098097023681 SLC47A1
0.772990684374451 IGLL3P
0.772893843672424 TTBK2
0.769124982241405 MOGAT1
0.767828440076154 IDE
0.765950170710087 NAAA
0.764076922917675 RNF113A
0.764018345736551 IGLL1
0.763877166522839 MTUS2
0.760533186833268 QRFPR
0.760352674585122 CACNA2D2
0.759951869575734 PCNT
0.759736243505091 XYLT2
0.758598022218262 LMLN
0.756859549117485 EYA4
0.755912375465456 HSBP1L1
0.754996569440302 SSH3
0.754251971901957 GK
0.754006463759643 ZNF385A
0.751724131107756 DENND1B
0.751514933282993 PIM3
0.750804375799812 RWDD1
0.750282240122969 TRMT2B
0.748845708174359 TBC1D30
0.74857569738215 ACVR1C
0.747511812255977 PPARD
0.744146756221297 TMCC2
0.743214081212998 FLJ23867
0.742822799030777 TBC1D4
0.742212982149617 ABTB2
0.742057164638352 PLEKHA6
0.740253941229679 PIP5KL1
0.739175552344687 LOC727896
0.736025113816246 GNRH1
0.733655122162486 PKD1
0.733259003081625 ELOVL4
0.730684709898974 ALX3
0.729985495172323 FAM43A
0.729364108919168 CDK14
0.728749461094899 MRRF
0.728688000774541 PCDH7
0.728504277323846 SLC19A2
0.727696386372988 NFIX
0.727521093426157 DENND4B
0.72615645790905 MICB
0.724146358645536 PRR16
0.722887453842633 MLXIP
0.718408428036816 ABCA6
0.716861203159625 DOK3
0.716125775298447 ARHGAP39
0.715085037925931 SLC12A5
0.711612000458862 TNF
0.708435649584484 ARHGEF17
0.704897848455104 NAA16
0.704760113385402 ACYP2
0.704106090219227 LOC643406
0.70400872384992 CRABP1
0.700686071505754 ARL3
0.697595704305637 EMILIN3
0.696272312532332 SLC9A1
0.694764961740635 MED11
0.694013673641706 LAMA4
0.693780199823389 CLEC4M
0.687893648134664 DCAF8L2
0.684871011697771 SLC8A1
0.682408544035041 USP45
0.682266937536808 ZZEF1
0.678698067047086 LOC100294145
0.678266021340535 CACNG7
0.67809382352867 ANKRD37
0.67777877510854 PIM1
0.673665257252884 DPY19L2P2
0.670600023272539 SPNS2
0.669870205372971 SDHC
0.6678257153853 TBR1
0.665986021843396 ERCC4
0.66481092072504 ATP1B3
0.659708990035191 KIAA1841
0.658998372918825 TBC1D8
0.655488479654896 ARHGAP44
0.654184514846688 KLHL24
0.654151215824297 BCO2
0.653455110397378 ARHGAP26
0.652945466526907 RAB11FIP3
0.651301292567005 OBSL1
0.65104641974576 PPP1R16B
0.650514187172147 ABCA9
0.650285880592945 LOC728743
0.648410624568917 EPB41L1
0.647504343899335 CALCOCO1
0.647453892228803 MX1
0.644706372001533 TRAK2
0.642249597979795 ZNF385D
0.640810994216188 STRADA
0.640541639133693 IMPA1
0.636094130054408 ARHGEF10L
0.635968005682872 B4GALT6
0.633392193850025 INPP5A
0.630038624678004 NKX3_1
0.629486187475046 TPRKB
0.622046695141846 CHST12
0.621119233247783 MAGEL2
0.620971382641686 PURA
0.620969714853048 EXOC3L2
0.615941957359927 MGAT1
0.615531981984598 NFKBIZ
0.615140426311153 JARID2
0.613764033824938 ITGA11
0.613172511094681 MID2
0.611809234194908 OSBPL2
0.61151631542534 KLC2
0.611492036075682 RP9
0.607330327587768 CISD2
0.60641384907248 TRAF3IP1
0.605739701425209 HRC
0.605580992626327 FKBP5
0.604540962898628 VPS36
0.603230466249696 IL17RC
0.603067355169076 RP9P
0.601954873218258 SMOC2
0.600755837170984 SMARCD2
0.596878508217383 ST8SIA5
0.596570621005939 CLIP4
0.596437756203011 UBE2O
0.592659081962465 HSPB2
0.591340330638222 C2orf27A
0.590439644539371 IRS1
0.588057599384733 ASAH2
0.585537631082644 SPOCK2
0.584480843850067 SLC25A32
0.583264417667466 PEPD
0.58278569737044 FZD4
